Nomer,Kode,Nama,Alamat,Kode Pos,No Telpon,Email
,,,,,,
1,111, Universitas Syiah Kuala,"Gedung ICT Center, Jl. Syekh Abdul Rauf No.2,
			Darussalam, Banda Aceh",23111, (0651) 6303969, utbk@unsyiah.ac.id
2,112, Universitas Malikussaleh,"UPT Pusat Komputer Jl. Irian No. 1,
			Komplek Kampus Bukit Indah, Blamg Pulo - Lhokseumawe",24355, 0852-7713-4765, utbk@unimal.ac.id
3,113, Universitas Teuku Umar,"Universitas Teuku Umar UPT. TIK. Gedung F,
			Jl. Alue Peunyareng, Ujong Tanoh Darat, Meureubo,
			Kabupaten Aceh Barat",23615, 085262464609, utbk@utu.ac.id
4,114, Universitas Samudra,"Ruang Kesekretariatan Penerimaan Mahasiswa Baru,
			Gedung Biro Rektor Universitas Samudra, Meurandeh,
			Kota Langsa - Aceh",24416, 085296969201, utbk@unsam.ac.id
5, 115 , Institut Seni Budaya Indonesia  Aceh,"Jl. Banda Aceh Medan Km. 8,5 Desa Ujong XII,
			Kec. Ingin Jaya Kabupaten Aceh Besar",23911, (0651) 92023, utbk@isbiaceh.ac.id
6,121, Universitas Sumatera Utara,"Pusat Pelayanan Terpadu, Gedung Biro Pusat Administrasi Lantai 1 Kampus USU Padang Bulan,
			Jalan dr. T. Mansyur No. 9",20155," 085362716693,
			", puml@usu.ac.id
7,122,Universitas Negeri Medan,"Ruang VIP Room Gedung Serbaguna Unimed,
			Jalan Willem Iskandar Pasar V Medan Estate",20221, (0616) 613365, utbk@unimed.ac.id
8,131, Universitas Riau,"Sekretariat UTBK SBMPTN, Gedung Rektorat Lantai 2 Kampus Bina Widya Km 12,5 Simpang Baru Pekanbaru",28293, (0761) 63266, utbk.sbmptn@unri.ac.id
9,133, Universitas Maritim Raja Ali Haji ,Jalan Politeknik Senggarang Tanjungpinang,29115, (0771) 4500089, utbk@umrah.ac.id
10,141, Universitas Andalas,"Gedung Rektorat Universitas Andalas,
			Kampus Limau Manis Padang",25163, (0751) 71301, sekre.wr1@unand.ac.id
11,142, Universitas Negeri Padang,"Gedung Rektorat Lama Bagonjong Lt. 1,
			Jalan Prof. Dr. Hamka Air Tawar Padang ",25132, (0751) 7051260, utbk@unp.ac.id
12,143, Institut Seni Indonesia Padang Panjang,"Gedung Rektorat Jl. Bahder Johan, Kota Padangpanjang Sumatera Barat",27128, (0752) 82077,utbk@isi-padangpanjang.ac.id
13,151, Universitas Jambi,"Gedung Balairung Lantai 2 Kampus UNJA Mendalo,
			Jl. Raya Jambi - Muara Bulian Km.15 Mendalo Indah Jambi ",36361, +62 823-5916-6545, pusat_utbk_unja@unja.ac.id
14,161, Universitas Bengkulu,"Rektorat Universitas Bengkulu, Jalan WR Supratman Kandang Limun Bengkulu",38371, (0736) 21170, snmptn.utbk@unib.ac.id
15,171, Universitas Sriwijaya,"Gedung Graha Sriwijaya Lt. 1 Kampus UNSRI Bukit Besar,
			Jalan Srijaya Negara Bukit Besar Palembang",30139,"
			,
			", utbk@unsri.ac.id
16,181, Universitas Bangka Belitung ,"UPT TIK, Gedung Babel IV Kampus Terpadu,
			Universitas Bangka Belitung ",33172," (0717) 422145,
			 081373539227",bakk@ubb.ac.id
17,191, Universitas Lampung,Gedung UPT. TIK Unila Jl. Soemantri Brojonegoro No.1 Gedung Meneng Bandar Lampung,35145, 081211389261, simanila@kpa.unila.ac.id
18,192, Institut Teknologi Sumatera,"Jalan Terusan Ryacudu, Desa Way Hui,
			Kecamatan Jati Agung, Lampung Selatan ",35365," Telp: (0721) 8030188,
			HP : 08583171276", pmb@itera.ac.id
19,311, Universitas Sultan Ageng Tirtayasa ,Jl. Raya Jakarta km.4 Pakupatan Serang Banten,42124," (0254) 280330,
			 087871261263", utbk@untirta.ac.id
20,321, Universitas Indonesia,"Gedung Penerimaan Mahasiswa Baru (PMB) UI,
			Jl. Prof. Dr. Sujudi, Kampus UI Depok, Jawa Barat",16424, (021) 7864126, sekretariat.pmb@ui.ac.id
21,323, Universitas Negeri Jakarta,"Kampus A UNJ, Gedung D, Pustikom Lt.1,
			Jl. Rawamangun Muka, RT.11/RW.14, Rawamangun,
			Pulo Gadung, Kota Jakarta Timur",13220," 
			,
			", utbk@unj.ac.id
